id_num,"from_date","to_date","name","hauntedBy"
317,"2014-10-18 20:00:00","2014-10-18 22:30:00","Haunted Maze","Ferris Mens Basketball"
318,"2014-10-19 14:00:00","2014-10-19 17:00:00","Maze Open",""
319,"2014-10-24 20:00:00","2014-10-24 22:30:00","Haunted Maze","Alpha XI Delta "
320,"2014-10-26 14:00:00","2014-10-26 17:00:00","Maze Open",""
329,"2014-10-25 20:00:00","2014-10-25 22:30:00","Haunted Maze","Ferris Mens Tennis"
328,"2014-10-25 12:00:00","2014-10-25 17:30:00","Maze Open",""
323,"2014-09-27 12:00:00","2014-09-27 17:30:00","Maze Open",""
326,"2014-10-01 10:00:00","2014-10-01 13:00:00","Riverview Elementary",""
325,"2014-09-28 14:00:00","2014-09-28 17:00:00","Maze Open",""
327,"2014-10-03 17:00:00","2014-10-03 19:00:00","Williams Group",""
330,"2014-10-31 20:00:00","2014-10-31 22:30:00","Haunted Maze","Big Rapids Jaycees"
331,"2014-10-17 16:00:00","2014-10-17 18:00:00","YAC Booking",""
332,"2014-10-02 10:00:00","2014-10-02 14:00:00","St. Mary School",""
333,"2014-10-23 17:00:00","2014-10-23 19:30:00","Glencar Family",""
334,"2014-10-20 12:00:00","2014-10-20 13:30:00","MOISD",""
335,"2014-10-19 17:30:00","2014-10-19 19:00:00","Joe V. Gang",""
336,"2014-10-24 11:00:00","2014-10-24 13:00:00","McBride Group",""
337,"2014-11-28 17:30:00","2014-11-28 19:30:00","Reed Family ",""
338,"2015-01-11 13:30:00","2015-01-11 16:30:00","Burns Sleigh Ride",""
